image_name,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,mean_luminance,mean_saturation,dominant_rgb_0,dominant_rgb_1,dominant_rgb_2,dominant_hsv_0,dominant_hsv_1,dominant_hsv_2,warm_percentage,cold_percentage,unique_colors,quantized_colors,luminance_std,contrast_text_vs_background,bright_dark_ratio
20_aug_163,81.92636118053248,81.48140069052194,80.15047021943573,89.86639600307876,89.56730821018417,89.10958561400086,24.870996634066714,29.69585975759502,82.1437383528596,39.797725420113025,51.95774938528184,89.76756537014325,81.47990611068573,29.69585975759502,9,9,8,30,28,9,34.729786342689565,1.5767880617713768,8501,16,89.59614489238568,5.802973709820684,0.38499487164670704
20_aug_2,78.88793425072319,78.23702181729703,77.34045256697937,89.89502486540896,89.74053189178878,89.28854649029505,26.619373327205384,32.52918975911758,79.04236394603801,45.46848417594261,52.610196703215465,89.82845496325437,78.31067350077048,32.52918975911758,8,7,7,0,32,8,37.22133607288654,2.534266944226662,8894,16,89.7260290646209,9.642044976533377,0.37444105004190437
210_aug_132,116.78187000091937,122.37475406821734,120.12361864484693,60.14898687370213,60.015070145874624,57.5514080263471,76.72738806656247,20.09076031994116,123.38381906775766,21.073352959048346,17.779625097931063,58.83849306588477,121.02317493794244,20.09076031994116,115,122,118,73,15,122,0.03677484600533235,28.667831203456835,11889,16,59.775108001190354,1.8947261339237549,0.33347430357635377
210_aug_172,117.53899582716382,123.26839413110783,121.86790954368017,59.668853257953415,59.318677712002575,57.235505764825014,79.38651231659712,18.847933773051555,124.3014806838067,21.168627207134026,13.56949532950818,58.37620928916568,121.94920906447705,18.847933773051555,110,118,115,79,17,118,0.13326154260331133,33.37865123165971,13960,16,59.18313741603325,1.8469155747308563,0.30328442589850585
212_aug_106,46.82314090263621,39.00802801491202,30.093020548924667,62.073929580253925,55.87574237856182,45.34083181030065,24.58217075660881,135.8646411503939,46.8860813376921,37.74330614355301,65.28789488862554,62.02997676552673,40.0258574757979,135.8646411503939,18,13,9,13,128,18,92.39699764214475,2.245449738441022,43646,16,56.470292332760884,2.949851544255003,0.1329211797922826
218_aug_126,128.77504564087818,82.01388285173569,83.41464654232732,66.72807506234992,67.53230380400818,69.42990728829342,92.88770672141342,119.68433899302514,133.44207119308265,70.83856453004717,83.78082520493133,66.6240824423623,92.05644119916808,119.68433899302514,60,22,27,176,162,60,65.93351478229468,31.5547322736179,65780,16,61.28344977752373,1.4525577527877949,0.2891658920534717
218_aug_15,140.96831256458037,94.219038955763,95.93996343757452,57.92243633581901,67.51465161768188,70.70985753702375,91.61442537820915,107.14271710044069,145.93251847992158,70.74360668606225,85.04759018099583,59.327109214351744,104.28218527258436,107.14271710044069,91,46,48,179,126,91,65.33281521844725,31.87466329891991,53731,16,58.59406871383985,1.2535136376944314,0.3505930354761505
220_aug_53,101.63548521449395,67.32426811409225,63.48057126734828,65.50826146029766,73.08614015657149,74.30613115078008,30.85929249909312,128.1417876959869,101.83345917695584,60.42781250917795,79.88251677209621,65.67921956157453,74.34131795730272,128.1417876959869,62,26,23,2,160,62,93.34094664857385,2.2745898886216764,83287,16,69.73663733140567,2.7748752659129767,0.1809407370584837
223_aug_30,215.33634216510256,142.9058342441488,138.98871845123682,32.83613036232387,66.17603237312561,69.40202631341687,68.51241221623387,112.44208155881356,217.64293207201095,72.82236972568742,63.16153307342018,29.539771370824187,158.02174446789533,112.44208155881356,198,87,80,2,152,198,78.55123808088041,11.502657068556138,118226,16,52.930379177915725,1.7341424087729163,0.7215228834533097
226_aug_149,170.08141693616002,166.41172595520422,162.87049347227213,59.54503480410063,58.505449953110286,57.48851319808537,15.145586297760211,17.19090609653851,170.08686669062163,10.257604208959629,34.18990211248227,59.53516541055007,166.93622527248772,17.19090609653851,195,191,187,15,10,195,93.96035453347706,0.1392382321236076,6437,16,58.75190234277516,1.1048318592872906,0.841837345789915
226_aug_57,170.31741939444163,166.54514064729986,162.96847904485674,59.07316108592695,58.04895122731075,57.02481175278262,15.072940165431303,17.306523640716357,170.32202323404385,10.230683572107178,33.9460587736258,59.0631069562459,167.0888921412458,17.306523640716357,195,191,187,15,10,195,94.27742737443027,0.15806515967650353,6178,16,58.29022486156017,1.091145881081661,0.8449119899329374
228_aug_196,82.85139271502908,91.0524334251607,64.35270890725437,49.76991767100039,48.8695684071472,52.894157916518346,39.05552494643404,90.7543005815733,91.05622895622895,4.508578626226994,34.28107042871962,48.87863060443359,87.38117205999386,90.7543005815733,57,65,38,39,106,65,0.19436792164064892,0.07652280379553107,20178,16,49.516912430509386,1.9879944170137542,0.12653810835629017
